order_id,order_date,customer_id,product_category,price,quantity,order_value,payment_method,city,state,customer_age,temporal_anomaly,quantity_reconstructed,quantity_inconsistency
1,2024-02-02,2616,Sports,269,50,13385,credit_card,New York,NY,66.0,False,False,False
2,2024-10-10,1736,Grocery,66,10,660,debit_card,Los Angeles,CA,24.0,False,True,False
3,2024-08-27,2543,Sports,267,19,5073,credit_card,Chicago,IL,23.0,False,True,False
4,2024-06-09,2252,Toys,114,125,14290,credit_card,New York,NY,70.0,False,False,False
5,2024-06-07,1583,Fashion,729,16,11754,credit_card,Houston,TX,75.0,False,False,False
6,2024-11-10,2824,Toys,459,29,13347,debit_card,New York,NY,57.0,False,False,False
7,2024-02-01,1868,Fashion,446,24,10868,credit_card,Seattle,WA,75.0,False,False,False
8,2024-09-12,1301,Toys,477,6,2862,paypal,Los Angeles,CA,38.0,False,True,False
9,2024-03-14,2925,Beauty,55,1,45819,credit_card,Boston,MA,40.0,False,False,True
10,2024-02-04,2826,Sports,1710,14,23940,debit_card,Seattle,WA,28.0,False,True,False
11,2024-07-11,1099,Sports,462,31,14524,paypal,Denver,CO,67.0,False,False,False
12,2024-12-23,2804,Fashion,655,20,12876,debit_card,Phoenix,AZ,60.0,False,False,False
13,2024-09-26,2894,Beauty,401,17,6817,credit_card,Chicago,IL,32.0,False,True,False
14,2024-10-05,2658,Toys,914,15,13843,credit_card,Denver,CO,80.0,False,False,False
15,2024-09-19,1509,Sports,562,6,3372,credit_card,Houston,TX,19.0,False,True,False
16,2024-10-14,2262,Electronics,459,26,11984,credit_card,Boston,MA,66.0,False,False,False
17,2024-07-06,2076,Electronics,1534,15,23010,paypal,Boston,MA,31.0,False,True,False
18,2024-02-16,2240,Electronics,1721,9,14703,credit_card,Denver,CO,67.0,False,False,False
19,2024-11-03,2232,Beauty,107,9,963,credit_card,Miami,FL,,False,True,False
20,2024-06-13,2278,Beauty,275,1,275,paypal,Seattle,WA,32.0,False,True,False
21,2024-07-02,2028,Electronics,1098,10,10980,credit_card,Houston,TX,21.0,False,True,False
